date.time	rain
2013-03-22 14:00:00	0
2013-03-22 14:01:00	0
2013-03-22 14:02:00	0
2013-03-22 14:03:00	0
2013-03-22 14:04:00	0
2013-03-22 14:05:00	0
2013-03-22 14:06:00	0
2013-03-22 14:07:00	0
2013-03-22 14:08:00	0
2013-03-22 14:09:00	0
2013-03-22 14:10:00	0
2013-03-22 14:11:00	0
2013-03-22 14:12:00	0
2013-03-22 14:13:00	0.1
2013-03-22 14:14:00	0.1
2013-03-22 14:15:00	0.1
2013-03-22 14:16:00	0.1
2013-03-22 14:17:00	0.3
2013-03-22 14:18:00	0.3
2013-03-22 14:19:00	0.5
2013-03-22 14:20:00	1.2
2013-03-22 14:21:00	0.4
2013-03-22 14:22:00	0
2013-03-22 14:23:00	0
2013-03-22 14:24:00	0
2013-03-22 14:25:00	0
2013-03-22 14:26:00	0
2013-03-22 14:27:00	0
2013-03-22 14:28:00	0
2013-03-22 14:29:00	0
2013-03-22 14:30:00	0
2013-03-22 14:31:00	0
2013-03-22 14:32:00	0
2013-03-22 14:33:00	0
2013-03-22 14:34:00	0
2013-03-22 14:35:00	0
2013-03-22 14:36:00	0
2013-03-22 14:37:00	0
2013-03-22 14:38:00	0
2013-03-22 14:39:00	0
2013-03-22 14:40:00	0
2013-03-22 14:41:00	0
2013-03-22 14:42:00	0
2013-03-22 14:43:00	0
2013-03-22 14:44:00	0
2013-03-22 14:45:00	0
2013-03-22 14:46:00	0
2013-03-22 14:47:00	0
2013-03-22 14:48:00	0
2013-03-22 14:49:00	0
2013-03-22 14:50:00	0
